Coluna;"O que preencher? (Instruções)"
"Descrição da Ação";"Texto curto descrevendo o que será feito. Ex: ""Modernizar o Data Center""."
"Nome do Objetivo Estratégico";"Nome exato do objetivo estratégico ao qual este plano está vinculado."
"Unidade Responsável";"Nome da unidade organizacional responsável pela execução."
"Data de Início (dd/mm/aaaa)";"Data de início prevista. Formato: 01/01/2026."
"Data de Fim (dd/mm/aaaa)";"Data de conclusão prevista. Deve ser posterior à data de início."
"Orçamento Previsto (R$)";"Valor monetário estimado. Use apenas números e vírgula para centavos."
"Tipo de Execução (Projeto/Processo)";"Classificação do plano. Geralmente ""Projeto"", ""Atividade"" ou ""Processo""."
Status;"Estado atual: ""Não Iniciado"", ""Em Andamento"", ""Concluído"", ""Suspenso"" ou ""Cancelado""."
"Código PPA";"Código do Plano Plurianual (Opcional)."
"Código LOA";"Código da Lei Orçamentária Anual (Opcional)."
"Detalhamento / Justificativa";"Texto longo explicando o porquê da ação e detalhes técnicos."
